Course,Skills
Python for Beginners,python programming basics coding
Machine Learning with Python,python machine learning ai
Deep Learning Fundamentals,deep learning neural networks ai
Artificial Intelligence Basics,artificial intelligence ai machine learning
Data Science with Python,data science python pandas numpy
Natural Language Processing,nlp text processing ai
Computer Vision Basics,computer vision image processing ai
Web Development,html css javascript frontend
React Development,react javascript frontend web
Node JS Backend,nodejs backend javascript api
AWS Cloud Fundamentals,aws cloud computing devops
Docker Essentials,docker containers devops cloud
Kubernetes Basics,kubernetes cloud devops
Power BI Analytics,power bi data visualization analytics
SQL for Data Analysis,sql database analytics